param_n_estimators,param_max_depth,param_min_samples_split,mean_train_score,mean_test_score,std_test_score,rank_test_score
10,10,20,0.9984099363400967,0.9981159605950429,6.247483887533901e-05,1
10,5,5,0.9981199199936226,0.9981118575404717,5.725787935082645e-05,2
10,5,20,0.9981199199936226,0.9981118575404717,5.725787935082645e-05,2
10,5,2,0.9981199199936226,0.9981118575404717,5.725787935082645e-05,2
10,5,10,0.9981199199936226,0.9981118575404717,5.725787935082645e-05,2
100,5,2,0.9981089268752376,0.9981089270483405,6.124742138721868e-05,6
100,5,20,0.9981089268752376,0.9981089270483405,6.124742138721868e-05,6
100,5,5,0.9981089268752376,0.9981089270483405,6.124742138721868e-05,6
100,5,10,0.9981089268752376,0.9981089270483405,6.124742138721868e-05,6
50,5,5,0.9981067282221304,0.9981074612653678,5.9791883416806807e-05,10
50,5,2,0.9981067282221304,0.9981074612653678,5.9791883416806807e-05,10
50,5,10,0.9981067282221304,0.9981074612653678,5.9791883416806807e-05,10
50,5,20,0.9981067282221304,0.9981074612653678,5.9791883416806807e-05,10
200,5,10,0.9981059953323349,0.9981059955085709,6.180609796500358e-05,14
200,5,2,0.9981059953323349,0.9981059955085709,6.180609796500358e-05,14
200,5,20,0.9981059953323349,0.9981059955085709,6.180609796500358e-05,14
200,5,5,0.9981059953323349,0.9981059955085709,6.180609796500358e-05,14
10,10,5,0.9984209193933414,0.9981042165023585,4.83361160420553e-05,18
200,10,20,0.9984289941584431,0.9981012944625487,3.8450188723972965e-05,19
10,10,10,0.9984077201586534,0.9980954173299752,6.730216736525578e-05,20
100,10,20,0.9984260638145231,0.9980925021855072,2.6522941072493073e-05,21
100,10,10,0.9984429211270983,0.998089566547527,4.2891655571102374e-05,22
10,10,2,0.998424582156544,0.998085155755415,1.496367077533929e-05,23
100,10,5,0.9984568509028038,0.9980822370028833,4.755150311897349e-05,24
50,10,5,0.9984502517132879,0.9980807708037208,2.198496996487865e-05,25
100,10,2,0.9984671177573342,0.998079307997955,4.552067375987742e-05,26
200,10,10,0.9984509875763873,0.9980793069008126,3.845124576269732e-05,27
50,10,20,0.9984355969888313,0.9980778416463375,3.196285616218865e-05,28
200,10,5,0.998457588896987,0.9980749119178743,3.4551417382274245e-05,29
200,10,2,0.9984649204427023,0.9980690489062306,6.537315481739022e-05,30
50,10,2,0.9984517191027059,0.9980690400738738,3.195967008852518e-05,31
50,10,10,0.9984444026429147,0.9980661243788155,6.027136361679155e-05,32
10,20,20,0.9984619989847451,0.9980455981076454,2.549874088068245e-05,33
10,,20,0.9984663944419824,0.998030932422556,4.493394058067139e-05,34
10,20,10,0.9984751923271397,0.9980309308986693,4.6760058208642956e-05,35
100,20,20,0.9984810830553558,0.9980295017424673,3.647888857977369e-05,36
10,,10,0.9984773923775795,0.9980294669640507,4.312136876733005e-05,37
200,20,20,0.9984862133010539,0.9980251042199967,3.7870504406767475e-05,38
200,,20,0.9984862139392278,0.998023638237069,3.959297515485576e-05,39
10,20,2,0.998503049401401,0.9980236023808523,5.907756237335982e-05,40
10,20,5,0.9984949870328483,0.9980206699952192,4.356660936107684e-05,41
10,,2,0.998504515842888,0.998020669432594,5.292982776046628e-05,42
50,20,20,0.9984832752272473,0.9980163022266412,3.804378839101823e-05,43
10,,5,0.9984971850899639,0.9980162708619273,4.860567178763166e-05,44
100,,20,0.9984825536983863,0.9980148491177698,4.390855419964807e-05,45
100,20,5,0.9985133332993739,0.9980148383997737,4.9584045102546404e-05,46
200,,2,0.9985221358832149,0.9980133775065321,4.879774467872009e-05,47
200,20,2,0.9985221363341984,0.998011912808756,4.8619049227252594e-05,48
50,,10,0.9984994048214338,0.9980119059092843,3.804549830767481e-05,49
50,20,10,0.9984986715317277,0.9980119054801336,4.08274571052597e-05,50
50,,2,0.99852139655874,0.9980119046372055,4.713513514840929e-05,51
50,20,2,0.9985213965831833,0.9980104381810811,4.958444399898383e-05,52
100,20,10,0.998500877323497,0.9980089810124136,4.1662702719528883e-05,53
50,,20,0.9984832740021928,0.9980075048424547,4.237890136771449e-05,54
200,,10,0.9985038101630878,0.9980060500972469,3.7757296922874184e-05,55
200,20,10,0.9985038095722757,0.9980060500972469,3.7757296922874184e-05,55
200,20,5,0.9985155387864983,0.9980060491076964,4.852850618265813e-05,57
100,20,2,0.9985214023752121,0.9980045829053661,6.111387975866625e-05,58
100,,10,0.9985023490684962,0.9980031253322775,4.940066647637321e-05,59
50,,5,0.9985133318325382,0.9980016414127432,4.6907228868019e-05,60
200,,5,0.9985162707553314,0.99800018334673,4.8528735284773376e-05,61
50,20,5,0.9985118655574249,0.9980001749848908,5.1623152518526194e-05,62
100,,5,0.9985140773043016,0.9979987267132294,5.5777928851017665e-05,63
100,,2,0.9985221405326831,0.9979928601909673,5.929010585033161e-05,64
50,2,5,0.992848354917382,0.9928498197830414,0.00011417046164940421,65
50,2,2,0.992848354917382,0.9928498197830414,0.00011417046164940421,65
50,2,20,0.992848354917382,0.9928498197830414,0.00011417046164940421,65
50,2,10,0.992848354917382,0.9928498197830414,0.00011417046164940421,65
100,2,5,0.9928461586154871,0.9928468920605877,0.000111239663210608,69
100,2,20,0.9928461586154871,0.9928468920605877,0.000111239663210608,69
100,2,2,0.9928461586154871,0.9928468920605877,0.000111239663210608,69
100,2,10,0.9928461586154871,0.9928468920605877,0.000111239663210608,69
200,2,2,0.9928468938614962,0.9928454282318251,0.00011326720116761369,73
200,2,5,0.9928468938614962,0.9928454282318251,0.00011326720116761369,73
200,2,20,0.9928468938614962,0.9928454282318251,0.00011326720116761369,73
200,2,10,0.9928468938614962,0.9928454282318251,0.00011326720116761369,73
10,2,10,0.9631502530999141,0.9631502457604965,0.00047255671710100787,77
10,2,20,0.9631502530999141,0.9631502457604965,0.00047255671710100787,77
10,2,5,0.9631502530999141,0.9631502457604965,0.00047255671710100787,77
10,2,2,0.9631502530999141,0.9631502457604965,0.00047255671710100787,77
